,Word
301,FEATHERINESS
291,WETNESS
94,PATCHWORK QUILT
386,THICK
29,BIOLUMINESCENCE
132,MARLIN
513,INDUBITABLENESS
113,TENT
242,PRICKING
619,TAG
241,HUGGING
268,FONDLING
405,JEOPARDY
596,HEREIN
489,UNSOUND
21,FOOTBALL GAME
237,ROUGHNESS
62,VISIBLY
26,VAN
388,SCALP
77,VISIBILITY
139,PICTOGRAPHY
229,SHARP
385,COLDNESS
740,SOWING
688,NONIRRITANT
23,VISIBLE
425,UNEXPLAINED
171,BASKETBALL PLAYER
262,GLOVE
724,DESIRABLY
343,TOUCHABLE
336,SWEATER
42,SNOWY
212,PETTED
775,DISENTANGLE
644,BULLWHIP
299,LUMPINESS
142,FUCHSIA
399,SPANK
38,CHOREOGRAPHY
339,ELASTIC BAND
82,HANDWRITTEN
779,REPOSITION
359,POKE AT
261,COARSENESS
497,MELODIC
128,FEMALE
86,DARKEN
277,SHAVED
416,HEREWITH
216,SILKY
569,EPICENTER
198,MEASURING CUP
321,HANDKERCHIEF
417,PESSIMISTIC
597,CHLORINATE
588,THUNDEROUS
551,LASTINGNESS
482,UNACCEPTED
435,INARTICULATE
209,FEEL
448,IRRELATIVE
480,NITRITE
706,IMPRECISION
754,WIELDABLE
275,FROZEN
457,INSATIABLY
396,SUNSCREEN
178,TOWBOAT
460,ALTHOUGH
474,DEDUCTIVE
714,CONDOLENCE
707,SHAKING
285,CHOPSTICKS
378,UNSCREWING
613,SIFTED
362,MOISTURIZE
715,HEFTY
678,CLAWED
172,ENORMOUS
748,BULGINESS
117,SWASTIKA
121,WEBBROWSER
214,FURRINESS
452,SUBLANGUAGE
447,CONDESCENDENCE
324,COARSE
252,PULL
432,OBJECTIVISM
403,EXCRETIVE
326,TICKLING
357,CUSHION
271,GRIPPING
434,LONG TERM
636,CONDITIONER
624,HOIST
10,YOUTUBE
54,RACOON
750,TORQUE
731,REFRIGERATE
782,GLOP
140,OVERCAST
752,CATHETER
541,NONDAIRY
642,THERMODYNAMICALLY
572,OPT
205,RUB
14,INTERNET SITE
297,FELT
463,MANIPULATOR
152,HAIRLESS
280,LUBRICATION
737,TWEEZE
184,VISION
560,AUDIBLY
192,UNDERDRESSED
669,GUSTY
419,ALLERGIC
561,PARTICULARIZATION
341,FOOTSY
766,POCKETFUL
150,DAYCARE
418,NAY
519,HOGGISHLY
454,CAPITALISTIC
493,HEEHAW
161,FLOWER GARDEN
586,UNFERTILE
144,DAYLIGHT
169,NUDITY
611,THYME
756,UNLOOSEN
527,IONIZATION
555,KEEP
380,MOIST
375,GENTLY
769,FORCELESS
570,RAVENOUS
147,DARKNESS
679,PRICKS
473,INVENTIVELY
456,POLYTECHNICS
220,SMOOTHLY
174,FRUMPY
267,KISSING
75,PALMTREE
483,SWOONED
659,HARDBOUND
645,SIDES
412,UNFOUNDED
6,WIKIPEDIA
664,BOUNCINESS
226,SPONGINESS
215,PUTTYLIKE
98,POSTMAN
248,CARESS
105,GIANTESS
695,UNMIXABLE
118,TELECAST
206,RUBDOWN
112,ILLUSTRATION
528,HOLINESS
304,SEAT
19,BUS DRIVER
426,DETOXIFIER
393,WETTER
382,TICKLE
7,COLORS
160,CEREAL BOWL
351,SLIPPERINESS
646,TUCK
46,TRAFFIC SIGNAL
634,DEEPFREEZE
423,INFURIATING
310,GOOEY
550,UNEASINESS
466,SOPHISTICATE
450,INSIDIOUSLY
363,ELECTRIC SHOCK
293,HANDRAIL
603,KNOCKER
614,HURTING
217,POKE
376,STRANGLE
123,SHIRT
548,PAROLE
199,HUMAN
422,BANK HOLIDAY
2,BAR CODE
394,SOAP
559,NEUROMUSCULAR
735,PAINTBALL
28,CREATURE
712,BEVEL
533,RECONCILER
685,ELECTROTHERAPY
20,COLOR
31,IMAGE
598,INDEPENDENTLY
575,DEPRIVE
491,SCRUPLE
347,SLIME
476,SAVORY
81,SCENIC
494,NOSING
381,LINEN
741,REMOVABLE
9,SIGHT
322,HOT
410,BLACKHEART
170,ORNAMENT
563,JET LAG
440,NEWFOUND
783,REFLEXOLOGY
102,NIGHTLIGHT
270,SLICKNESS
530,BITTERNESS
315,BLISTER
354,THIGH
349,BACKSLAP
143,MASTERPIECE
61,GLEAM
269,MASTURBATION
620,BOP
667,MACE
458,OVERFED
115,LOOK AROUND
85,SEEABLE
48,BASEBALL
703,INTIMATELY
360,RIGIDNESS
136,YARD
133,TEXT MESSAGE
361,QUILT
340,WOOL
451,OBSCURELY
